
=== SB iOS pre-action 2-grams (n=5499, base reach rate=0.487) — LOWEST lift (paths that lead nowhere) ===
                     pattern  sessions  support  reach_rate  lift_reach
   webViewunknown > homepage       219    0.040       0.219       0.450
       my_account > homepage       134    0.024       0.351       0.721
       homepage > my_account       752    0.137       0.356       0.732
  ticketHistory > my_account       227    0.041       0.392       0.806
    homepage > ticketHistory      2261    0.411       0.401       0.823
     homepage > ticketDetail       189    0.034       0.413       0.848
ticketDetail > ticketHistory      1599    0.291       0.429       0.882
ticketHistory > ticketDetail      2523    0.459       0.430       0.884
--- HIGHEST lift (paths that lead to a pick) ---
                                  pattern  sessions  support  reach_rate  lift_reach
                  liveEvents > liveDetail      1402    0.255       0.770       1.582
                  my_account > liveEvents       193    0.035       0.782       1.608
 prematchMatchesOverview > prematchSports       126    0.023       0.786       1.615
         prematchSports > prematchLeagues      1418    0.258       0.788       1.619
prematchLeagues > prematchMatchesOverview      1344    0.244       0.799       1.642
     liveDetail > prematchMatchesOverview       127    0.023       0.811       1.667
 prematchMatchesOverview > prematchDetail       757    0.138       0.867       1.781
     prematchMatchesOverview > liveDetail       195    0.035       0.867       1.781

=== SB iOS pre-action 3-grams (n=5499, base reach rate=0.487) — LOWEST lift (paths that lead nowhere) ===
                                     pattern  sessions  support  reach_rate  lift_reach
      webViewunknown > homepage > my_account       142    0.026       0.148       0.304
      my_account > webViewunknown > homepage       213    0.039       0.216       0.444
webViewunknown > my_account > webViewunknown       330    0.060       0.355       0.729
         homepage > ticketHistory > homepage       154    0.028       0.364       0.747
      homepage > my_account > webViewunknown       575    0.105       0.376       0.772
    ticketHistory > homepage > ticketHistory       249    0.045       0.386       0.792
     homepage > ticketHistory > ticketDetail      1798    0.327       0.407       0.837
ticketHistory > ticketDetail > ticketHistory      1376    0.250       0.419       0.862
--- HIGHEST lift (paths that lead to a pick) ---
                                                       pattern  sessions  support  reach_rate  lift_reach
              ticketHistory > prematchSports > prematchLeagues       264    0.048       0.814       1.674
    prematchMatchesOverview > prematchSports > prematchLeagues       115    0.021       0.817       1.680
prematchMatchesOverview > liveDetail > prematchMatchesOverview       119    0.022       0.832       1.710
                      liveDetail > liveEvents > prematchSports       117    0.021       0.838       1.721
    prematchLeagues > prematchMatchesOverview > prematchDetail       727    0.132       0.865       1.778
        prematchLeagues > prematchMatchesOverview > liveDetail       182    0.033       0.879       1.807
                          my_account > liveEvents > liveDetail       116    0.021       0.914       1.878
                      webViewunknown > my_account > liveEvents       112    0.020       0.938       1.926

=== SB Android pre-action 2-grams (n=6323, base reach rate=0.421) — LOWEST lift (paths that lead nowhere) ===
                       pattern  sessions  support  reach_rate  lift_reach
         unnamed_screen > menu       160    0.025       0.200       0.475
unnamed_screen > ticketHistory      2802    0.443       0.275       0.652
  ticketDetail > ticketHistory      1676    0.265       0.288       0.684
  ticketHistory > ticketDetail      2493    0.394       0.288       0.685
   account > accounts_web_view       234    0.037       0.291       0.690
         menu > unnamed_screen       132    0.021       0.295       0.701
     liveDetail > ticketDetail       304    0.048       0.329       0.781
     ticketDetail > liveDetail       363    0.057       0.342       0.811
--- HIGHEST lift (paths that lead to a pick) ---
                             pattern  sessions  support  reach_rate  lift_reach
         unnamed_screen > liveDetail       494    0.078       0.711       1.686
     unnamed_screen > prematchSports       928    0.147       0.716       1.698
    unnamed_screen > prematchLeagues       279    0.044       0.738       1.752
    prematchSports > prematchLeagues      1184    0.187       0.761       1.806
prematchLeagues > competition_detail      1342    0.212       0.773       1.836
             liveEvents > liveDetail      1240    0.196       0.775       1.839
 competition_detail > prematchDetail       752    0.119       0.847       2.011
                account > liveEvents       130    0.021       0.931       2.209

=== SB Android pre-action 3-grams (n=6323, base reach rate=0.421) — LOWEST lift (paths that lead nowhere) ===
                                               pattern  sessions  support  reach_rate  lift_reach
          account > unnamed_screen > accounts_web_view       180    0.028       0.144       0.343
       accounts_web_view > account > accounts_web_view       187    0.030       0.235       0.558
accounts_web_view > unnamed_screen > accounts_web_view       179    0.028       0.251       0.597
         unnamed_screen > ticketHistory > ticketDetail      2126    0.336       0.265       0.629
                 account > accounts_web_view > account       133    0.021       0.271       0.642
          ticketHistory > ticketDetail > ticketHistory      1454    0.230       0.283       0.671
        ticketHistory > unnamed_screen > ticketHistory       432    0.068       0.296       0.703
         ticketDetail > unnamed_screen > ticketHistory       420    0.066       0.312       0.740
--- HIGHEST lift (paths that lead to a pick) ---
                                              pattern  sessions  support  reach_rate  lift_reach
 prematchDetail > competition_detail > prematchDetail       148    0.023       0.696       1.652
        liveEvents > prematchSports > prematchLeagues       137    0.022       0.715       1.698
                 liveDetail > liveEvents > liveDetail       519    0.082       0.717       1.701
             unnamed_screen > liveEvents > liveDetail       786    0.124       0.740       1.757
prematchSports > prematchLeagues > competition_detail      1046    0.165       0.768       1.822
    unnamed_screen > prematchSports > prematchLeagues       725    0.115       0.783       1.860
unnamed_screen > prematchLeagues > competition_detail       219    0.035       0.804       1.907
prematchLeagues > competition_detail > prematchDetail       707    0.112       0.851       2.021
